"Country or Area","Year(s)","Value","Value Footnotes"
"Liberia","1994","1764",""
"Liberia","1993","1766",""
"Liberia","1992","1948",""
"Libya","2012","1549",""
"Libya","2011","1518",""
"Libya","2009","2096",""
"Libya","2008","2010",""
"Libya","2007","2119",""
"Libya","2006","2022",""
"Libya","2005","2098",""
"Libya","2004","1653",""
"Libya","2003","1917",""
"Libya","2002","1824",""
"Libya","2000","1341",""
"Libya","1999","1615",""
"Libya","1998","1575",""
"Libya","1996","1282",""
"Libya","1995","1440",""
"Libya","1992","1164",""
"Libya","1991","239",""
"Libya","1990","442",""
"Lithuania","2012","1635",""
"Lithuania","2011","1748",""
"Lithuania","2010","1751",""
"Lithuania","2009","1895",""
"Lithuania","2008","2096",""
"Lithuania","2007","2235",""
"Lithuania","2006","2365",""
"Lithuania","2005","2114",""
"Lithuania","2004","2036",""
"Lithuania","2003","2613",""
"Lithuania","2002","2414",""
"Lithuania","2001","2598",""
"Lithuania","2000","2657",""
"Lithuania","1999","2800",""
"Lithuania","1998","3016",""
"Lithuania","1997","2926",""
"Lithuania","1996","2608",""
"Lithuania","1995","2362",""
"Lithuania","1994","2135",""
"Lithuania","1993","1895",""
"Lithuania","1992","1598",""
"Lithuania","1991","1556",""
"Lithuania","1990","1471",""
"Luxembourg","2012","45",""
"Luxembourg","2011","25",""
"Luxembourg","2010","29",""
"Luxembourg","2009","27",""
"Luxembourg","2008","28",""
"Luxembourg","2007","39",""
"Luxembourg","2006","33",""
"Luxembourg","2005","37",""
"Luxembourg","2004","31",""
"Luxembourg","2003","54",""
"Luxembourg","2002","31",""
"Luxembourg","2001","31",""
"Luxembourg","2000","44",""
"Luxembourg","1999","37",""
"Luxembourg","1998","44",""
"Luxembourg","1997","38",""
"Luxembourg","1996","41",""
"Luxembourg","1995","32",""
"Luxembourg","1994","33",""
"Luxembourg","1993","35",""
"Luxembourg","1992","25",""
"Luxembourg","1991","48",""
"Luxembourg","1990","48",""
"Madagascar","2012","25782",""
"Madagascar","2011","26019",""
"Madagascar","2010","24432",""
"Madagascar","2009","22758",""
"Madagascar","2008","22034",""
"Madagascar","2007","21857",""
"Madagascar","2006","21966",""
"Madagascar","2005","18993",""
"Madagascar","2004","20001",""
"Madagascar","2003","19309",""
"Madagascar","2002","17140",""
"Madagascar","2001","16447",""
"Madagascar","1998","14661",""
"Madagascar","1996","12718",""
"Madagascar","1995","21616",""
"Madagascar","1994","10671",""
"Madagascar","1993","9855",""
"Madagascar","1992","8126",""
"Madagascar","1991","6015",""
"Madagascar","1990","6261",""
"Malawi","2012","20335",""
"Malawi","2011","19361",""
"Malawi","2010","21092",""
"Malawi","2009","22674",""
"Malawi","2008","23929",""
"Malawi","2007","24461",""
"Malawi","2006","25054",""
"Malawi","2005","25491",""
"Malawi","2004","27030",""
"Malawi","2003","28234",""
"Malawi","2002","24595",""
"Malawi","2001","26094",""
"Malawi","2000","23604",""
"Malawi","1999","24396",""
"Malawi","1998","22674",""
"Malawi","1997","20676",""
"Malawi","1996","20630",""
"Malawi","1995","19155",""
"Malawi","1994","19496",""
"Malawi","1993","17105",""
"Malawi","1992","14237",""
"Malawi","1991","14743",""
"Malawi","1990","12395",""
"Malaysia","2012","21851",""
"Malaysia","2011","19808",""
"Malaysia","2010","18517",""
"Malaysia","2009","17341",""
"Malaysia","2008","17144",""
"Malaysia","2007","16129",""
"Malaysia","2006","16051",""
"Malaysia","2005","15415",""
"Malaysia","2004","14986",""
"Malaysia","2003","15717",""
"Malaysia","2002","14389",""
"Malaysia","2001","14830",""
"Malaysia","2000","15057",""
"Malaysia","1999","14908",""
"Malaysia","1998","14115",""
"Malaysia","1997","13539",""
"Malaysia","1996","12691",""
"Malaysia","1995","11778",""
"Malaysia","1994","11708",""
"Malaysia","1993","12285",""
"Malaysia","1992","11420",""
"Malaysia","1991","11059",""
"Malaysia","1990","11702",""
"Maldives","2012","110",""
"Maldives","2011","87",""
"Maldives","2010","95",""
"Maldives","2009","100",""
"Maldives","2008","120",""
"Maldives","2007","127",""
"Maldives","2006","99",""
"Maldives","2005","122",""
"Maldives","2004","119",""
"Maldives","2003","137",""
"Maldives","2002","125",""
"Maldives","2001","139",""
"Maldives","2000","132",""
"Maldives","1999","153",""
"Maldives","1998","176",""
"Maldives","1997","173",""
"Maldives","1996","212",""
"Maldives","1995","231",""
"Maldives","1994","249",""
"Maldives","1993","175",""
"Maldives","1992","92",""
"Maldives","1991","123",""
"Maldives","1990","152",""
"Mali","2012","5446",""
"Mali","2011","5428",""
"Mali","2010","5291",""
"Mali","2009","6611",""
"Mali","2008","5989",""
"Mali","2007","5179",""
"Mali","2006","4989",""
"Mali","2005","4704",""
"Mali","2004","4525",""
"Mali","2003","4496",""
"Mali","2002","4457",""
"Mali","2001","4452",""
"Mali","2000","4216",""
"Mali","1999","4466",""
"Mali","1998","4142",""
"Mali","1997","5022",""
"Mali","1996","3655",""
"Mali","1995","3087",""
"Mali","1994","3075",""
"Mali","1993","3204",""
"Mali","1992","3113",""
"Mali","1991","2631",""
"Mali","1990","2933",""
"Malta","2012","42",""
"Malta","2011","30",""
"Malta","2010","29",""
"Malta","2009","42",""
"Malta","2008","48",""
"Malta","2007","38",""
"Malta","2006","30",""
"Malta","2005","22",""
"Malta","2004","18",""
"Malta","2003","7",""
"Malta","2002","24",""
"Malta","2001","16",""
"Malta","2000","16",""
"Malta","1999","22",""
"Malta","1998","16",""
"Malta","1997","11",""
"Malta","1996","28",""
"Malta","1995","11",""
"Malta","1994","25",""
"Malta","1993","26",""
"Malta","1992","30",""
"Malta","1991","26",""
"Malta","1990","13",""
"Marshall Islands","2012","145",""
"Marshall Islands","2011","139",""
"Marshall Islands","2010","193",""
"Marshall Islands","2009","141",""
"Marshall Islands","2008","125",""
"Marshall Islands","2007","158",""
"Marshall Islands","2006","139",""
"Marshall Islands","2005","111",""
"Marshall Islands","2004","117",""
"Marshall Islands","2003","60",""
"Marshall Islands","2002","51",""
"Marshall Islands","2001","56",""
"Marshall Islands","2000","34",""
"Marshall Islands","1999","41",""
"Marshall Islands","1998","49",""
"Marshall Islands","1996","59",""
"Marshall Islands","1993","61",""
"Marshall Islands","1992","52",""
"Marshall Islands","1991","26",""
"Mauritania","2012","2616",""
"Mauritania","2011","1804",""
"Mauritania","2010","2461",""
"Mauritania","2009","2640",""
"Mauritania","2008","2698",""
"Mauritania","2007","2969",""
"Mauritania","2006","2694",""
"Mauritania","2005","2162",""
"Mauritania","2004","3326",""
"Mauritania","2000","3067",""
"Mauritania","1999","3649",""
"Mauritania","1998","3617",""
"Mauritania","1997","3788",""
"Mauritania","1996","3837",""
"Mauritania","1995","3849",""
"Mauritania","1993","3996",""
"Mauritania","1992","4316",""
"Mauritania","1991","3064",""
"Mauritania","1990","5284",""
"Mauritius","2012","128",""
"Mauritius","2011","114",""
"Mauritius","2010","122",""
"Mauritius","2009","115",""
"Mauritius","2008","107",""
"Mauritius","2007","106",""
"Mauritius","2006","114",""
"Mauritius","2005","125",""
"Mauritius","2004","137",""
"Mauritius","2003","137",""
"Mauritius","2002","139",""
"Mauritius","2001","123",""
"Mauritius","2000","160",""
"Mauritius","1999","154",""
"Mauritius","1998","120",""
"Mauritius","1997","121",""
"Mauritius","1996","116",""
"Mauritius","1995","131",""
"Mauritius","1994","149",""
"Mauritius","1993","159",""
"Mauritius","1992","130",""
"Mauritius","1991","134",""
"Mauritius","1990","119",""
"Mexico","2012","20470",""
"Mexico","2011","19857",""
"Mexico","2010","20155",""
"Mexico","2009","18957",""
"Mexico","2008","18810",""
"Mexico","2007","18440",""
"Mexico","2006","17934",""
"Mexico","2005","18524",""
"Mexico","2004","15101",""
"Mexico","2003","19231",""
"Mexico","2002","17790",""
"Mexico","2001","18879",""
"Mexico","2000","18434",""
"Mexico","1999","19802",""
"Mexico","1998","21514",""
"Mexico","1997","23575",""
"Mexico","1996","20722",""
"Mexico","1995","11329",""
"Mexico","1994","16353",""
"Mexico","1993","15145",""
"Mexico","1992","14446",""
"Mexico","1991","15216",""
"Mexico","1990","14437",""
"Micronesia (Federated States of)","2012","144",""
"Micronesia (Federated States of)","2011","148",""
"Micronesia (Federated States of)","2010","164",""
"Micronesia (Federated States of)","2009","148",""
"Micronesia (Federated States of)","2008","164",""
"Micronesia (Federated States of)","2007","140",""
"Micronesia (Federated States of)","2006","104",""
"Micronesia (Federated States of)","2005","98",""
"Micronesia (Federated States of)","2004","118",""
"Micronesia (Federated States of)","2003","106",""
"Micronesia (Federated States of)","2002","127",""
"Micronesia (Federated States of)","2001","104",""
"Micronesia (Federated States of)","2000","91",""
"Micronesia (Federated States of)","1998","123",""
"Micronesia (Federated States of)","1997","107",""
"Micronesia (Federated States of)","1996","126",""
"Micronesia (Federated States of)","1995","172",""
"Micronesia (Federated States of)","1994","173",""
"Micronesia (Federated States of)","1993","151",""
"Micronesia (Federated States of)","1992","111",""
"Micronesia (Federated States of)","1991","350",""
"Micronesia (Federated States of)","1990","367",""
"Monaco","2010","1",""
"Monaco","2002","0",""
"Monaco","2001","0",""
"Monaco","2000","0",""
"Monaco","1999","3",""
"Monaco","1998","0",""
"Monaco","1997","0",""
"Monaco","1996","0",""
"Monaco","1995","1",""
"Monaco","1994","1",""
"Monaco","1992","1",""
"Monaco","1991","0",""
"Monaco","1990","1",""
"Mongolia","2012","4128",""
"Mongolia","2011","4217",""
"Mongolia","2010","4458",""
"Mongolia","2009","4481",""
"Mongolia","2008","4490",""
"Mongolia","2007","4654",""
"Mongolia","2006","5049",""
"Mongolia","2005","4601",""
"Mongolia","2004","4542",""
"Mongolia","2003","3918",""
"Mongolia","2002","3829",""
"Mongolia","2001","3526",""
"Mongolia","2000","3109",""
"Mongolia","1999","3348",""
"Mongolia","1998","2915",""
"Mongolia","1997","3592",""
"Mongolia","1996","4062",""
"Mongolia","1995","2780",""
"Mongolia","1994","1730",""
"Mongolia","1993","1418",""
"Mongolia","1992","1516",""
"Mongolia","1991","1611",""
"Mongolia","1990","1659",""
"Montenegro","2012","98",""
"Montenegro","2011","110",""
"Montenegro","2010","110",""
"Montenegro","2009","114",""
"Montenegro","2008","131",""
"Montenegro","2007","147",""
"Montenegro","2006","167",""
"Montenegro","2005","156",""
"Morocco","2012","28635",""
"Morocco","2011","28640",""
"Morocco","2010","28359",""
"Morocco","2009","27348",""
"Morocco","2008","26838",""
"Morocco","2007","25562",""
"Morocco","2006","26099",""
"Morocco","2005","26269",""
"Morocco","2004","25909",""
"Morocco","2003","26789",""
"Morocco","2002","29804",""
"Morocco","2001","28285",""
"Morocco","2000","28852",""
"Morocco","1999","29854",""
"Morocco","1998","29087",""
"Morocco","1997","30227",""
"Morocco","1996","31771",""
"Morocco","1995","29829",""
"Morocco","1994","30316",""
"Morocco","1993","27626",""
"Morocco","1992","25403",""
"Morocco","1991","27638",""
"Morocco","1990","27658",""
"Mozambique","2012","47741",""
"Mozambique","2011","44627",""
"Mozambique","2010","43558",""
"Mozambique","2009","43221",""
"Mozambique","2008","39261",""
"Mozambique","2007","37651",""
"Mozambique","2006","35257",""
"Mozambique","2005","33231",""
"Mozambique","2004","31150",""
"Mozambique","2003","28602",""
"Mozambique","2002","25544",""
"Mozambique","2001","22098",""
"Mozambique","2000","21158",""
"Mozambique","1999","20574",""
"Mozambique","1998","19672",""
"Mozambique","1997","18842",""
"Mozambique","1996","18443",""
"Mozambique","1995","17882",""
"Mozambique","1994","17158",""
"Mozambique","1993","16588",""
"Mozambique","1992","15085",""
"Mozambique","1991","16609",""
"Mozambique","1990","15899",""
"Myanmar","2012","141170",""
"Myanmar","2011","136737",""
"Myanmar","2010","131590",""
"Myanmar","2009","128343",""
"Myanmar","2008","124037",""
"Myanmar","2007","129081",""
"Myanmar","2006","122472",""
"Myanmar","2005","107009",""
"Myanmar","2004","96662",""
"Myanmar","2003","75744",""
"Myanmar","2002","57012",""
"Myanmar","2001","42838",""
"Myanmar","2000","30840",""
"Myanmar","1999","19626",""
"Myanmar","1998","14756",""
"Myanmar","1997","17122",""
"Myanmar","1996","22201",""
"Myanmar","1995","18229",""
"Myanmar","1994","15583",""
"Myanmar","1993","19009",""
"Myanmar","1992","17000",""
"Myanmar","1991","14905",""
"Myanmar","1990","12416",""
"Namibia","2012","10003",""
"Namibia","2011","10806",""
"Namibia","2010","11281",""
"Namibia","2009","11980",""
"Namibia","2008","13440",""
"Namibia","2007","13859",""
"Namibia","2006","14673",""
"Namibia","2005","14920",""
"Namibia","2004","15026",""
"Namibia","2003","14490",""
"Namibia","2002","13282",""
"Namibia","2001","13064",""
"Namibia","2000","10799",""
"Namibia","1999","10035",""
"Namibia","1998","11147",""
"Namibia","1997","9947",""
"Namibia","1996","9628",""
"Namibia","1995","1540",""
"Namibia","1993","5500",""
"Namibia","1992","1756",""
"Namibia","1991","2500",""
"Namibia","1990","2671",""
"Nauru","2011","5",""
"Nauru","2010","3",""
"Nauru","2009","4",""
"Nauru","2008","5",""
"Nauru","2007","3",""
"Nauru","2006","12",""
"Nauru","2005","11",""
"Nauru","2003","3",""
"Nauru","2002","5",""
"Nauru","2001","3",""
"Nauru","2000","4",""
"Nauru","1999","2",""
"Nauru","1994","4",""
"Nauru","1990","7",""
"Nepal","2012","35195",""
"Nepal","2011","35434",""
"Nepal","2010","35114",""
"Nepal","2009","34888",""
"Nepal","2008","32909",""
"Nepal","2007","32940",""
"Nepal","2006","32670",""
"Nepal","2005","33448",""
"Nepal","2004","31979",""
"Nepal","2003","33119",""
"Nepal","2002","30359",""
"Nepal","2001","29519",""
"Nepal","2000","29519",""
"Nepal","1999","27356",""
"Nepal","1998","24135",""
"Nepal","1997","24158",""
"Nepal","1996","22970",""
"Nepal","1995","19804",""
"Nepal","1994","15572",""
"Nepal","1993","13161",""
"Nepal","1991","8983",""
"Nepal","1990","10142",""
"Netherlands","2012","920",""
"Netherlands","2011","981",""
"Netherlands","2010","1046",""
"Netherlands","2009","1131",""
"Netherlands","2008","964",""
"Netherlands","2007","930",""
"Netherlands","2006","1002",""
"Netherlands","2005","1127",""
"Netherlands","2004","1316",""
"Netherlands","2003","1309",""
"Netherlands","2002","1355",""
"Netherlands","2001","1408",""
"Netherlands","2000","1244",""
"Netherlands","1999","1398",""
"Netherlands","1998","1341",""
"Netherlands","1997","1486",""
"Netherlands","1996","1678",""
"Netherlands","1995","1619",""
"Netherlands","1994","1811",""
"Netherlands","1993","1587",""
"Netherlands","1992","1465",""
"Netherlands","1991","1345",""
"Netherlands","1990","1369",""
"New Zealand","2012","293",""
"New Zealand","2011","305",""
"New Zealand","2010","301",""
"New Zealand","2009","298",""
"New Zealand","2008","292",""
"New Zealand","2007","274",""
"New Zealand","2006","344",""
"New Zealand","2005","332",""
"New Zealand","2004","371",""
"New Zealand","2003","424",""
"New Zealand","2002","329",""
"New Zealand","2001","377",""
"New Zealand","2000","344",""
"New Zealand","1999","447",""
"New Zealand","1998","365",""
"New Zealand","1997","321",""
"New Zealand","1996","352",""
"New Zealand","1995","391",""
"New Zealand","1994","352",""
"New Zealand","1993","274",""
"New Zealand","1992","317",""
"New Zealand","1991","335",""
"New Zealand","1990","348",""
"Nicaragua","2012","2790",""
"Nicaragua","2011","2693",""
"Nicaragua","2010","2448",""
"Nicaragua","2009","2283",""
"Nicaragua","2008","2336",""
"Nicaragua","2007","2303",""
"Nicaragua","2006","1997",""
"Nicaragua","2005","1907",""
"Nicaragua","2004","2220",""
"Nicaragua","2003","2283",""
"Nicaragua","2002","2092",""
"Nicaragua","2001","2447",""
"Nicaragua","2000","2402",""
"Nicaragua","1999","2558",""
"Nicaragua","1998","2604",""
"Nicaragua","1997","2806",""
"Nicaragua","1996","3003",""
"Nicaragua","1995","2842",""
"Nicaragua","1994","2750",""
"Nicaragua","1993","2798",""
"Nicaragua","1992","2885",""
"Nicaragua","1991","2797",""
"Nicaragua","1990","2944",""
"Niger","2012","10989",""
"Niger","2011","10510",""
"Niger","2010","10130",""
"Niger","2009","10021",""
"Niger","2008","9209",""
"Niger","2007","9276",""
"Niger","2006","8474",""
"Niger","2005","7873",""
"Niger","2004","6822",""
"Niger","2003","7078",""
"Niger","2002","5185",""
"Niger","2001","5115",""
"Niger","2000","4701",""
"Niger","1999","3900",""
"Niger","1998","5046",""
"Niger","1997","4021",""
"Niger","1995","1980",""
"Niger","1994","3784",""
"Niger","1993","626",""
"Niger","1990","5200",""
"Nigeria","2012","92818",""
"Nigeria","2011","86778",""
"Nigeria","2010","84121",""
"Nigeria","2009","88589",""
"Nigeria","2008","85674",""
"Nigeria","2007","82417",""
"Nigeria","2006","70734",""
"Nigeria","2005","63990",""
"Nigeria","2004","57553",""
"Nigeria","2003","44445",""
"Nigeria","2002","38628",""
"Nigeria","2001","45842",""
"Nigeria","2000","25821",""
"Nigeria","1999","24157",""
"Nigeria","1998","20249",""
"Nigeria","1997","16660",""
"Nigeria","1996","15020",""
"Nigeria","1995","13423",""
"Nigeria","1994","8449",""
"Nigeria","1993","11601",""
"Nigeria","1992","14802",""
"Nigeria","1991","19626",""
"Nigeria","1990","20122",""
"Niue","2012","0",""
"Niue","2011","1",""
"Niue","2010","0",""
"Niue","2009","0",""
"Niue","2008","0",""
"Niue","2007","0",""
"Niue","2006","0",""
"Niue","2005","0",""
"Niue","2004","0",""
"Niue","2003","0",""
"Niue","2002","4",""
"Niue","2001","0",""
"Niue","2000","0",""
"Niue","1999","1",""
"Niue","1998","0",""
"Niue","1997","0",""
"Niue","1996","2",""
"Niue","1995","0",""
"Niue","1994","2",""
"Niue","1993","1",""
"Niue","1992","2",""
"Niue","1990","0",""
"Norway","2011","324",""
"Norway","2010","297",""
"Norway","2009","363",""
"Norway","2008","297",""
"Norway","2007","283",""
"Norway","2006","277",""
"Norway","2005","276",""
"Norway","2004","284",""
"Norway","2003","333",""
"Norway","2002","243",""
"Norway","2001","276",""
"Norway","2000","221",""
"Norway","1999","213",""
"Norway","1998","244",""
"Norway","1997","205",""
"Norway","1996","217",""
"Norway","1995","236",""
"Norway","1994","242",""
"Norway","1993","256",""
"Norway","1992","288",""
"Norway","1991","290",""
"Norway","1990","285",""
"Oman","2012","382",""
"Oman","2011","337",""
"Oman","2010","308",""
"Oman","2009","332",""
"Oman","2008","350",""
"Oman","2007","328",""
"Oman","2006","339",""
"Oman","2005","261",""
"Oman","2004","292",""
"Oman","2003","255",""
"Oman","2002","290",""
"Oman","2001","292",""
"Oman","2000","321",""
"Oman","1999","249",""
"Oman","1998","287",""
"Oman","1997","298",""
"Oman","1996","300",""
"Oman","1995","276",""
"Oman","1994","304",""
"Oman","1993","281",""
"Oman","1992","367",""
"Oman","1991","442",""
"Oman","1990","482",""
"Pakistan","2012","267475",""
"Pakistan","2011","264934",""
"Pakistan","2010","264235",""
"Pakistan","2009","264248",""
"Pakistan","2008","245635",""
"Pakistan","2007","230468",""
"Pakistan","2006","177376",""
"Pakistan","2005","142017",""
"Pakistan","2004","94327",""
"Pakistan","2003","69632",""
"Pakistan","2002","48344",""
"Pakistan","2001","20707",""
"Pakistan","2000","11050",""
"Pakistan","1999","20936",""
"Pakistan","1998","89599",""
"Pakistan","1996","4307",""
"Pakistan","1995","13142",""
"Pakistan","1993","73175",""
"Pakistan","1991","194323",""
"Pakistan","1990","156759",""
"Palau","2012","4",""
"Palau","2011","12",""
"Palau","2010","19",""
"Palau","2009","19",""
"Palau","2007","11",""
"Palau","2006","12",""
"Palau","2005","10",""
"Palau","2004","5",""
"Palau","2003","9",""
"Palau","2002","11",""
"Palau","1999","32",""
"Palau","1997","15",""
"Palau","1996","5",""
"Palau","1995","19",""
"Palau","1994","41",""
"Palau","1993","25",""
"Palau","1992","4",""
"Palau","1991","6",""
"Panama","2012","1520",""
"Panama","2011","1571",""
"Panama","2010","1496",""
"Panama","2009","1539",""
"Panama","2008","1584",""
"Panama","2007","1596",""
"Panama","2006","1636",""
"Panama","2005","1637",""
"Panama","2004","1701",""
"Panama","2003","1620",""
"Panama","2002","1577",""
"Panama","2001","1718",""
"Panama","2000","1169",""
"Panama","1999","1387",""
"Panama","1998","1422",""
"Panama","1997","1473",""
"Panama","1996","1314",""
"Panama","1995","1300",""
"Panama","1994","827",""
"Panama","1993","1146",""
"Panama","1992","750",""
"Panama","1991","863",""
"Panama","1990","846",""
"Papua New Guinea","2012","20557",""
"Papua New Guinea","2011","14893",""
"Papua New Guinea","2010","14531",""
"Papua New Guinea","2009","12306",""
"Papua New Guinea","2008","13984",""
"Papua New Guinea","2007","15002",""
"Papua New Guinea","2006","12620",""
"Papua New Guinea","2005","12564",""
"Papua New Guinea","2004","12743",""
"Papua New Guinea","2003","12798",""
"Papua New Guinea","2002","11197",""
"Papua New Guinea","2001","12658",""
"Papua New Guinea","2000","10520",""
"Papua New Guinea","1999","13003",""
"Papua New Guinea","1998","11291",""
"Papua New Guinea","1997","7977",""
"Papua New Guinea","1996","3195",""
"Papua New Guinea","1995","8041",""
"Papua New Guinea","1994","5335",""
"Papua New Guinea","1993","7451",""
"Papua New Guinea","1992","2540",""
"Papua New Guinea","1991","3401",""
"Papua New Guinea","1990","2497",""
"Paraguay","2012","2416",""
"Paraguay","2011","2372",""
"Paraguay","2010","2352",""
"Paraguay","2009","2346",""
"Paraguay","2008","2292",""
"Paraguay","2007","2343",""
"Paraguay","2006","2547",""
"Paraguay","2005","2075",""
"Paraguay","2004","2298",""
"Paraguay","2003","2294",""
"Paraguay","2002","2107",""
"Paraguay","2001","2073",""
"Paraguay","2000","1950",""
"Paraguay","1999","2115",""
"Paraguay","1998","1831",""
"Paraguay","1997","1946",""
"Paraguay","1996","2072",""
"Paraguay","1995","1745",""
"Paraguay","1994","1850",""
"Paraguay","1993","2037",""
"Paraguay","1992","1927",""
"Paraguay","1991","2283",""
"Paraguay","1990","2167",""
"Peru","2012","29760",""
"Peru","2011","31241",""
"Peru","2010","31073",""
"Peru","2009","31844",""
"Peru","2008","32193",""
"Peru","2007","32407",""
"Peru","2006","34311",""
"Peru","2005","33747",""
"Peru","2004","33414",""
"Peru","2003","32064",""
"Peru","2002","36092",""
"Peru","2001","37197",""
"Peru","2000","38661",""
"Peru","1999","40345",""
"Peru","1998","43723",""
"Peru","1997","42062",""
"Peru","1996","41739",""
"Peru","1995","45310",""
"Peru","1994","48601",""
"Peru","1993","51675",""
"Peru","1992","52552",""
"Peru","1991","40580",""
"Peru","1990","37905",""
"Philippines","2012","216627",""
"Philippines","2011","195560",""
"Philippines","2010","166323",""
"Philippines","2009","146565",""
"Philippines","2008","139603",""
"Philippines","2007","140588",""
"Philippines","2006","147305",""
"Philippines","2005","137100",""
"Philippines","2004","130530",""
"Philippines","2003","132759",""
"Philippines","2002","118408",""
"Philippines","2001","107133",""
"Philippines","2000","119914",""
"Philippines","1999","145807",""
"Philippines","1998","162360",""
"Philippines","1997","195767",""
"Philippines","1996","165453",""
"Philippines","1995","119186",""
"Philippines","1994","180044",""
"Philippines","1993","178134",""
"Philippines","1992","236172",""
"Philippines","1991","207371",""
"Philippines","1990","317008",""
"Poland","2012","7054",""
"Poland","2011","7946",""
"Poland","2010","7002",""
"Poland","2009","7925",""
"Poland","2008","7421",""
"Poland","2007","8019",""
"Poland","2006","8017",""
"Poland","2005","8203",""
"Poland","2004","8698",""
"Poland","2003","10124",""
"Poland","2002","10069",""
"Poland","2001","10153",""
"Poland","2000","10931",""
"Poland","1999","12168",""
"Poland","1998","13302",""
"Poland","1997","13967",""
"Poland","1996","15358",""
"Poland","1995","15958",""
"Poland","1994","16653",""
"Poland","1993","16828",""
"Poland","1992","16551",""
"Poland","1991","16496",""
"Poland","1990","16136",""
"Portugal","2012","2490",""
"Portugal","2011","2406",""
"Portugal","2010","2487",""
"Portugal","2009","2723",""
"Portugal","2008","2817",""
"Portugal","2007","2956",""
"Portugal","2006","3224",""
"Portugal","2005","3308",""
"Portugal","2004","3614",""
"Portugal","2003","3996",""
"Portugal","2002","4381",""
"Portugal","2001","4320",""
"Portugal","2000","4227",""
"Portugal","1999","4599",""
"Portugal","1998","5260",""
"Portugal","1997","5110",""
"Portugal","1996","5248",""
"Portugal","1995","5577",""
"Portugal","1994","5619",""
"Portugal","1993","5447",""
"Portugal","1992","5927",""
"Portugal","1991","5980",""
"Portugal","1990","6214",""
"Qatar","2012","728",""
"Qatar","2011","553",""
"Qatar","2010","580",""
"Qatar","2009","619",""
"Qatar","2008","567",""
"Qatar","2007","399",""
"Qatar","2006","339",""
"Qatar","2005","325",""
"Qatar","2004","272",""
"Qatar","2003","276",""
"Qatar","2002","278",""
"Qatar","2001","284",""
"Qatar","2000","279",""
"Qatar","1999","259",""
"Qatar","1998","253",""
"Qatar","1997","212",""
"Qatar","1996","257",""
"Qatar","1995","304",""
"Qatar","1993","200",""
"Qatar","1991","195",""
"Qatar","1990","184",""
"Republic of Korea","2012","43702",""
"Republic of Korea","2011","46253",""
"Republic of Korea","2010","44063",""
"Republic of Korea","2009","43318",""
"Republic of Korea","2008","40554",""
"Republic of Korea","2007","41858",""
"Republic of Korea","2006","42082",""
"Republic of Korea","2005","42892",""
"Republic of Korea","2004","34707",""
"Republic of Korea","2003","36891",""
"Republic of Korea","2002","34967",""
"Republic of Korea","2001","37268",""
"Republic of Korea","2000","21782",""
"Republic of Korea","1999","32075",""
"Republic of Korea","1998","34661",""
"Republic of Korea","1997","33215",""
"Republic of Korea","1996","39315",""
"Republic of Korea","1995","42117",""
"Republic of Korea","1994","38155",""
"Republic of Korea","1993","46999",""
"Republic of Korea","1992","48070",""
"Republic of Korea","1991","57864",""
"Republic of Korea","1990","63904",""
"Republic of Moldova","2012","4409",""
"Republic of Moldova","2011","4233",""
"Republic of Moldova","2010","4135",""
"Republic of Moldova","2009","4471",""
"Republic of Moldova","2008","4464",""
"Republic of Moldova","2007","4857",""
"Republic of Moldova","2006","4990",""
"Republic of Moldova","2005","5141",""
"Republic of Moldova","2004","4806",""
"Republic of Moldova","2003","8198",""
"Republic of Moldova","2002","3769",""
"Republic of Moldova","2001","3608",""
"Republic of Moldova","2000","2935",""
"Republic of Moldova","1999","2711",""
"Republic of Moldova","1998","2625",""
"Republic of Moldova","1997","2908",""
"Republic of Moldova","1996","2922",""
"Republic of Moldova","1995","2925",""
"Republic of Moldova","1994","2626",""
"Republic of Moldova","1993","2426",""
"Republic of Moldova","1992","1835",""
"Republic of Moldova","1991","1910",""
"Republic of Moldova","1990","1728",""
"Romania","2012","16036",""
"Romania","2011","16992",""
"Romania","2010","18379",""
"Romania","2009","20868",""
"Romania","2008","21724",""
"Romania","2007","22590",""
"Romania","2006","24295",""
"Romania","2005","26106",""
"Romania","2004","28570",""
"Romania","2003","29673",""
"Romania","2002","29752",""
"Romania","2001","28580",""
"Romania","2000","27470",""
"Romania","1999","26107",""
"Romania","1998","25758",""
"Romania","1997","23903",""
"Romania","1996","24189",""
"Romania","1995","23271",""
"Romania","1994","21422",""
"Romania","1993","20349",""
"Romania","1992","18097",""
"Romania","1991","15482",""
"Romania","1990","16256",""
"Russian Federation","2012","105753",""
"Russian Federation","2011","112910",""
"Russian Federation","2010","125310",""
"Russian Federation","2009","132653",""
"Russian Federation","2008","128263",""
"Russian Federation","2007","127338",""
"Russian Federation","2006","124689",""
"Russian Federation","2005","127930",""
"Russian Federation","2004","121426",""
"Russian Federation","2003","129732",""
"Russian Federation","2002","128873",""
"Russian Federation","2001","132477",""
"Russian Federation","2000","140677",""
"Russian Federation","1999","134360",""
"Russian Federation","1998","110935",""
"Russian Federation","1997","119123",""
"Russian Federation","1996","111075",""
"Russian Federation","1995","84980",""
"Russian Federation","1994","70822",""
"Russian Federation","1993","63591",""
"Russian Federation","1992","53148",""
"Russian Federation","1991","50407",""
"Russian Federation","1990","50641",""
"Rwanda","2012","6091",""
"Rwanda","2011","6623",""
